,repository_name,repository_language
0,.github,
1,ads-advanced-tools-docs,
2,ads-pao-amznjs-gtm-template,Smarty
3,alexa-coho,JavaScript
4,alexa-skills-kit-js,
5,amazon-ads-advertiser-audience-normalization-sdk-py,Python
6,amazon-advertising-api-php-sdk,PHP
7,amazon-codeguru-profiler-for-spark,Java
8,amazon-frustration-free-setup-certification-tool,Python
9,amazon-hub-counter-api-docs,CSS
10,amazon-hub-counter-api-samples,Java
11,amazon-hub-counter-sdk-java,Java
12,amazon-hub-support,PowerShell
13,amazon-instant-access-sdk-java,Java
14,amazon-instant-access-sdk-net,C#
15,amazon-instant-access-sdk-php,PHP
16,amazon-instant-access-sdk-ruby,Ruby
17,amazon-launcher-integration-cordova-plugin,JavaScript
18,amazon-marketing-stream-examples,Python
19,amazon-mcf-plugin-for-magento-1,PHP
20,amazon-multi-token-completion,Python
21,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
22,amazon-pay-api-sdk-dotnet,C#
23,amazon-pay-api-sdk-java,Java
24,amazon-pay-api-sdk-nodejs,JavaScript
25,amazon-pay-api-sdk-php,PHP
26,amazon-pay-sdk-csharp,C#
27,amazon-pay-sdk-java,Java
28,amazon-pay-sdk-php,PHP
29,amazon-pay-sdk-python,Python
30,amazon-pay-sdk-ruby,Ruby
31,amazon-pay-sdk-samples,PHP
32,amazon-payment-files-tools,Kotlin
33,amazon-payments-magento-2-plugin,PHP
34,amazon-ray,Python
35,amazon-s3-gst-plugin,C
36,amazon-sidewalk-android-samples,Kotlin
37,amazon-sidewalk-ios-samples,Swift
38,amazon-succinct-doc-representation,Python
39,amazon-template-library,C++
40,amazon-weak-ner-needle,Python
41,amigitenough,Go
42,amzn-drivers,C
43,amzn-ec2-ena-utilities,Python
44,auction-gym,Jupyter Notebook
45,augment-the-pairs-wacv2024,Python
46,autotrail,Python
47,aws-apigateway-client-lib,
48,aws-sigv4-signing-samples,Java
49,awsssmchaosrunner,Kotlin
50,basis-point-sets,Python
51,buy-with-prime-automate-tenant-validation,JavaScript
52,buy-with-prime-cdk-constructs,TypeScript
53,buy-with-prime-event-accelerator,Python
54,buy-with-prime-oauth-handler-ec2,JavaScript
55,buy-with-prime-saas-integration,TypeScript
56,chalet-charging-location-for-electric-trucks,Python
57,computer-vision-basics-in-microsoft-excel,
58,confident-sinkhorn-allocation,Jupyter Notebook
59,convolutional-handwriting-gan,Python
60,cosearcher,Python
61,credence-to-causal-estimation,Python
62,data-jack-knife,Java
63,debiased-balanced-interleaving,Jupyter Notebook
64,differential-privacy-bayesian-optimization,Python
65,distance-assistant,Python
66,drs-sample-android-app,Java
67,drs-sample-ios-app,Objective-C
68,emukit-playground,JavaScript
69,eslint-plugin-no-date-parsing,TypeScript
70,exoplayer-amazon-port,Java
71,explainable-text-vqa,
72,faithful-data2text-cycle-training,Python
73,fashion-attribute-disentanglement,Python
74,fire-app-builder,Java
75,firetv-sample-touch-app,Java
76,ftv-livetv-sample-tv-app,Java
77,gameon-sample-game-unity,C#
78,gameon-starter-kit-unity,C#
79,git-commit-template,JavaScript
80,glad,JavaScript
81,golang-gitoperations,Go
82,halo-third-party-sdk-for-java,Java
83,halo-third-party-sdk-for-node-js,TypeScript
84,halo-third-party-sdk-for-python,Python
85,hawktracer,C++
86,image-misspell-coling2020,
87,image-to-recipe-transformers,Python
88,ion-object-mapper-dotnet,C#
89,jekyll-doc-project,HTML
90,kqr,
91,login-with-amazon-oscommerce,PHP
92,login-with-amazon-wordpress,PHP
93,merlin-on-demand-callgraph,JavaScript
94,metalearn-leap,Python
95,milan,Scala
96,multiconer-baseline,Python
97,multilingual-keyphrase-generation,Python
98,multimodal-affinities,Python
99,MXFusion,Python
100,nimbus-jose-jwt_aws-kms-extension,Java
101,node-jose_aws-kms-extension,TypeScript
102,openapi-swift-code-generate,Swift
103,orthogonal-additive-gaussian-processes,Python
104,oss-attribution-builder,TypeScript
105,oss-contribution-tracker,TypeScript
106,oss-dashboard,Ruby
107,pecos,Python
108,pretraining-or-self-training,Python
109,python-jose_aws-kms-extension,Python
110,rdma-core,C
111,refuel-open-domain-qa,Python
112,rete-thewebconf-2022,Python
113,rheoceros,Python
114,robotiq-gripper-interface,C++
115,sample-fire-tv-app-video-skill,Java
116,selling-partner-api-docs,HTML
117,selling-partner-api-models,Java
118,selling-partner-api-samples,Java
119,seqzero,Python
120,service-model-swift-code-generate,Swift
121,sketch-constructor,JavaScript
122,smoke-aws,Swift
123,smoke-aws-credentials,Swift
124,smoke-aws-generate,Swift
125,smoke-aws-support,Swift
126,smoke-dynamodb,Swift
127,smoke-framework,Swift
128,smoke-framework-application-generate,Swift
129,smoke-framework-examples,Swift
130,smoke-http,Swift
131,sparse-vqvae,Python
132,ss-aga-kgc,Python
133,sto-transformer,Python
134,style-dictionary,JavaScript
135,supply-chain-simulation-environment,Python
136,tiny-attribution-generator,TypeScript
137,trans-encoder,Python
138,user-satisfaction-modeling,Python
139,workspace-resolver,JavaScript
140,xfer,Python
141,zeek-plugin-bacnet,Zeek
142,zeek-plugin-enip,Zeek
143,zeek-plugin-profinet,Zeek
144,zeek-plugin-s7comm,Zeek
145,zeek-plugin-tds,Zeek
146,zero-shot-rlhr,Python
